locality_name,gazetted_locality_name,vicnames_id,ufi,pfi,source
BALD HILLS,BALD HILLS,100234,831486754,205409792,Victoria Locality Boundary layer (MapServer/2)
BALINTORE,BALINTORE,100236,805745173,205409658,Victoria Locality Boundary layer (MapServer/2)
BALLAN,BALLAN,100237,802469054,205407781,Victoria Locality Boundary layer (MapServer/2)
BALLANGEICH,BALLANGEICH,100238,798567224,205408205,Victoria Locality Boundary layer (MapServer/2)
BALLAPUR,BALLAPUR,100239,468964952,205408273,Victoria Locality Boundary layer (MapServer/2)
BALLARAT CENTRAL,BALLARAT CENTRAL,100240,829328751,205410161,Victoria Locality Boundary layer (MapServer/2)
BALLARAT EAST,BALLARAT EAST,100241,829328753,205410014,Victoria Locality Boundary layer (MapServer/2)
BALLARAT NORTH,BALLARAT NORTH,100242,829328742,205410250,Victoria Locality Boundary layer (MapServer/2)
BALLENDELLA,BALLENDELLA,100243,468965192,205409668,Victoria Locality Boundary layer (MapServer/2)
BALLIANG,BALLIANG,100245,855324529,205407665,Victoria Locality Boundary layer (MapServer/2)
BALLIANG EAST,BALLIANG EAST,100246,802469097,205408802,Victoria Locality Boundary layer (MapServer/2)
BALLYROGAN,BALLYROGAN,100247,835229273,205407689,Victoria Locality Boundary layer (MapServer/2)
BALMATTUM,BALMATTUM,100248,840422589,205408167,Victoria Locality Boundary layer (MapServer/2)
BALMORAL,BALMORAL,100249,857371252,205407567,Victoria Locality Boundary layer (MapServer/2)
BALNARRING,BALNARRING,100250,776340601,205409301,Victoria Locality Boundary layer (MapServer/2)
BALNARRING BEACH,BALNARRING BEACH,100251,776340619,205410328,Victoria Locality Boundary layer (MapServer/2)
BALOOK,BALOOK,100253,800701855,205408992,Victoria Locality Boundary layer (MapServer/2)
BALWYN,BALWYN,100254,746966697,205410069,Victoria Locality Boundary layer (MapServer/2)
BALWYN NORTH,BALWYN NORTH,100255,857596576,205409895,Victoria Locality Boundary layer (MapServer/2)
BAMAWM,BAMAWM,100257,468965154,205408096,Victoria Locality Boundary layer (MapServer/2)
BAMAWM EXTENSION,BAMAWM EXTENSION,100258,468965082,205408102,Victoria Locality Boundary layer (MapServer/2)
BAMBRA,BAMBRA,100259,796758827,205408877,Victoria Locality Boundary layer (MapServer/2)
BAMGANIE,BAMGANIE,100260,792936285,205409162,Victoria Locality Boundary layer (MapServer/2)
BANDIANA,BANDIANA,100261,817075008,205409594,Victoria Locality Boundary layer (MapServer/2)
BANGERANG,BANGERANG,100262,468965052,205407658,Victoria Locality Boundary layer (MapServer/2)
BANGHOLME,BANGHOLME,100263,812633159,205409391,Victoria Locality Boundary layer (MapServer/2)
BANKSIA PENINSULA,BANKSIA PENINSULA,103706,517949158,213347126,Victoria Locality Boundary layer (MapServer/2)
BANNERTON,BANNERTON,100264,468964768,205407695,Victoria Locality Boundary layer (MapServer/2)
